179BoundingBox(left=138000.0, bottom=200000.0, right=139000.0, top=201000.0)
180BoundingBox(left=138000.0, bottom=199000.0, right=139000.0, top=200000.0)
181BoundingBox(left=139000.0, bottom=218000.0, right=140000.0, top=219000.0)
182BoundingBox(left=139000.0, bottom=217000.0, right=140000.0, top=218000.0)
183BoundingBox(left=139000.0, bottom=216000.0, right=140000.0, top=217000.0)
184BoundingBox(left=139000.0, bottom=215000.0, right=140000.0, top=216000.0)
185BoundingBox(left=139000.0, bottom=214000.0, right=140000.0, top=215000.0)
186BoundingBox(left=139000.0, bottom=213000.0, right=140000.0, top=214000.0)
187BoundingBox(left=139000.0, bottom=212000.0, right=140000.0, top=213000.0)
188BoundingBox(left=139000.0, bottom=211000.0, right=140000.0, top=212000.0)
189BoundingBox(left=139000.0, bottom=210000.0, right=140000.0, top=211000.0)
190BoundingBox(left=139000.0, bottom=209000.0, right=140000.0, top=210000.0)
191BoundingBox(left=139000.0, bottom=208000.0, right=140000.0, top=209000.0)
192BoundingBox(left=139000.0, bottom=207000.0, right=140000.0, top=208000.0)
193BoundingBox(left=139000.0, bottom=206000.0, right=140000.0, top=207000.0)
194BoundingBox(left=139000.0, bottom=205000.0, right=140000.0, top=206000.0)
195BoundingBox(left=139000.0, bottom=204000.0, right=140000.0, top=205000.0)
196BoundingBox(left=139000.0, bottom=203000.0, right=140000.0, top=204000.0)
197BoundingBox(left=139000.0, bottom=202000.0, right=140000.0, top=203000.0)
198BoundingBox(left=139000.0, bottom=201000.0, right=140000.0, top=202000.0)
199BoundingBox(left=139000.0, bottom=200000.0, right=140000.0, top=201000.0)
200BoundingBox(left=139000.0, bottom=199000.0, right=140000.0, top=200000.0)
201BoundingBox(left=140000.0, bottom=218000.0, right=141000.0, top=219000.0)
202BoundingBox(left=140000.0, bottom=217000.0, right=141000.0, top=218000.0)
203BoundingBox(left=140000.0, bottom=216000.0, right=141000.0, top=217000.0)
204BoundingBox(left=140000.0, bottom=215000.0, right=141000.0, top=216000.0)
205BoundingBox(left=140000.0, bottom=214000.0, right=141000.0, top=215000.0)
206BoundingBox(left=140000.0, bottom=213000.0, right=141000.0, top=214000.0)
207BoundingBox(left=140000.0, bottom=212000.0, right=141000.0, top=213000.0)
208BoundingBox(left=140000.0, bottom=211000.0, right=141000.0, top=212000.0)
209BoundingBox(left=140000.0, bottom=210000.0, right=141000.0, top=211000.0)
210BoundingBox(left=140000.0, bottom=209000.0, right=141000.0, top=210000.0)
211BoundingBox(left=140000.0, bottom=208000.0, right=141000.0, top=209000.0)
212BoundingBox(left=140000.0, bottom=207000.0, right=141000.0, top=208000.0)
213BoundingBox(left=140000.0, bottom=206000.0, right=141000.0, top=207000.0)
214BoundingBox(left=140000.0, bottom=205000.0, right=141000.0, top=206000.0)
215BoundingBox(left=140000.0, bottom=204000.0, right=141000.0, top=205000.0)
216BoundingBox(left=140000.0, bottom=203000.0, right=141000.0, top=204000.0)
217BoundingBox(left=140000.0, bottom=202000.0, right=141000.0, top=203000.0)
218BoundingBox(left=140000.0, bottom=201000.0, right=141000.0, top=202000.0)
219BoundingBox(left=140000.0, bottom=200000.0, right=141000.0, top=201000.0)
220BoundingBox(left=140000.0, bottom=199000.0, right=141000.0, top=200000.0)
221BoundingBox(left=141000.0, bottom=218000.0, right=142000.0, top=219000.0)
222BoundingBox(left=141000.0, bottom=217000.0, right=142000.0, top=218000.0)
223BoundingBox(left=141000.0, bottom=216000.0, right=142000.0, top=217000.0)
224BoundingBox(left=141000.0, bottom=215000.0, right=142000.0, top=216000.0)
225BoundingBox(left=141000.0, bottom=214000.0, right=142000.0, top=215000.0)
226BoundingBox(left=141000.0, bottom=213000.0, right=142000.0, top=214000.0)
227BoundingBox(left=141000.0, bottom=212000.0, right=142000.0, top=213000.0)
228BoundingBox(left=141000.0, bottom=211000.0, right=142000.0, top=212000.0)
229BoundingBox(left=141000.0, bottom=210000.0, right=142000.0, top=211000.0)
230BoundingBox(left=141000.0, bottom=209000.0, right=142000.0, top=210000.0)
231BoundingBox(left=141000.0, bottom=208000.0, right=142000.0, top=209000.0)
232BoundingBox(left=141000.0, bottom=207000.0, right=142000.0, top=208000.0)
233BoundingBox(left=141000.0, bottom=206000.0, right=142000.0, top=207000.0)
234BoundingBox(left=141000.0, bottom=205000.0, right=142000.0, top=206000.0)
235BoundingBox(left=141000.0, bottom=204000.0, right=142000.0, top=205000.0)
236BoundingBox(left=141000.0, bottom=203000.0, right=142000.0, top=204000.0)
237BoundingBox(left=141000.0, bottom=202000.0, right=142000.0, top=203000.0)
238BoundingBox(left=141000.0, bottom=201000.0, right=142000.0, top=202000.0)
239BoundingBox(left=141000.0, bottom=200000.0, right=142000.0, top=201000.0)
240BoundingBox(left=141000.0, bottom=199000.0, right=142000.0, top=200000.0)
241BoundingBox(left=142000.0, bottom=218000.0, right=143000.0, top=219000.0)
242BoundingBox(left=142000.0, bottom=217000.0, right=143000.0, top=218000.0)
243BoundingBox(left=142000.0, bottom=216000.0, right=143000.0, top=217000.0)
244BoundingBox(left=142000.0, bottom=215000.0, right=143000.0, top=216000.0)
245BoundingBox(left=142000.0, bottom=214000.0, right=143000.0, top=215000.0)
246BoundingBox(left=142000.0, bottom=213000.0, right=143000.0, top=214000.0)
247BoundingBox(left=142000.0, bottom=212000.0, right=143000.0, top=213000.0)
248BoundingBox(left=142000.0, bottom=211000.0, right=143000.0, top=212000.0)
249BoundingBox(left=142000.0, bottom=210000.0, right=143000.0, top=211000.0)
250BoundingBox(left=142000.0, bottom=209000.0, right=143000.0, top=210000.0)
251BoundingBox(left=142000.0, bottom=208000.0, right=143000.0, top=209000.0)
252BoundingBox(left=142000.0, bottom=207000.0, right=143000.0, top=208000.0)
253BoundingBox(left=142000.0, bottom=206000.0, right=143000.0, top=207000.0)
254BoundingBox(left=142000.0, bottom=205000.0, right=143000.0, top=206000.0)
255BoundingBox(left=142000.0, bottom=204000.0, right=143000.0, top=205000.0)
256BoundingBox(left=142000.0, bottom=203000.0, right=143000.0, top=204000.0)
257BoundingBox(left=142000.0, bottom=202000.0, right=143000.0, top=203000.0)
258BoundingBox(left=142000.0, bottom=201000.0, right=143000.0, top=202000.0)
259BoundingBox(left=142000.0, bottom=200000.0, right=143000.0, top=201000.0)
260BoundingBox(left=142000.0, bottom=199000.0, right=143000.0, top=200000.0)
261BoundingBox(left=143000.0, bottom=218000.0, right=144000.0, top=219000.0)
262BoundingBox(left=143000.0, bottom=217000.0, right=144000.0, top=218000.0)
263BoundingBox(left=143000.0, bottom=216000.0, right=144000.0, top=217000.0)
264BoundingBox(left=143000.0, bottom=215000.0, right=144000.0, top=216000.0)
265BoundingBox(left=143000.0, bottom=214000.0, right=144000.0, top=215000.0)
266BoundingBox(left=143000.0, bottom=213000.0, right=144000.0, top=214000.0)
267BoundingBox(left=143000.0, bottom=212000.0, right=144000.0, top=213000.0)
268BoundingBox(left=143000.0, bottom=211000.0, right=144000.0, top=212000.0)
269BoundingBox(left=143000.0, bottom=210000.0, right=144000.0, top=211000.0)
270BoundingBox(left=143000.0, bottom=209000.0, right=144000.0, top=210000.0)
271BoundingBox(left=143000.0, bottom=208000.0, right=144000.0, top=209000.0)
272BoundingBox(left=143000.0, bottom=207000.0, right=144000.0, top=208000.0)
273BoundingBox(left=143000.0, bottom=206000.0, right=144000.0, top=207000.0)
274BoundingBox(left=143000.0, bottom=205000.0, right=144000.0, top=206000.0)
275BoundingBox(left=143000.0, bottom=204000.0, right=144000.0, top=205000.0)
276BoundingBox(left=143000.0, bottom=203000.0, right=144000.0, top=204000.0)
277BoundingBox(left=143000.0, bottom=202000.0, right=144000.0, top=203000.0)
278BoundingBox(left=143000.0, bottom=201000.0, right=144000.0, top=202000.0)
279BoundingBox(left=143000.0, bottom=200000.0, right=144000.0, top=201000.0)
280BoundingBox(left=143000.0, bottom=199000.0, right=144000.0, top=200000.0)
281BoundingBox(left=144000.0, bottom=218000.0, right=145000.0, top=219000.0)
282BoundingBox(left=144000.0, bottom=217000.0, right=145000.0, top=218000.0)
283BoundingBox(left=144000.0, bottom=216000.0, right=145000.0, top=217000.0)
284BoundingBox(left=144000.0, bottom=215000.0, right=145000.0, top=216000.0)
285BoundingBox(left=144000.0, bottom=214000.0, right=145000.0, top=215000.0)
286BoundingBox(left=144000.0, bottom=213000.0, right=145000.0, top=214000.0)
287BoundingBox(left=144000.0, bottom=212000.0, right=145000.0, top=213000.0)
288BoundingBox(left=144000.0, bottom=211000.0, right=145000.0, top=212000.0)
289BoundingBox(left=144000.0, bottom=210000.0, right=145000.0, top=211000.0)
290BoundingBox(left=144000.0, bottom=209000.0, right=145000.0, top=210000.0)
291BoundingBox(left=144000.0, bottom=208000.0, right=145000.0, top=209000.0)
292BoundingBox(left=144000.0, bottom=207000.0, right=145000.0, top=208000.0)
293BoundingBox(left=144000.0, bottom=206000.0, right=145000.0, top=207000.0)
294BoundingBox(left=144000.0, bottom=205000.0, right=145000.0, top=206000.0)
295BoundingBox(left=144000.0, bottom=204000.0, right=145000.0, top=205000.0)
296BoundingBox(left=144000.0, bottom=203000.0, right=145000.0, top=204000.0)
297BoundingBox(left=144000.0, bottom=202000.0, right=145000.0, top=203000.0)
298BoundingBox(left=144000.0, bottom=201000.0, right=145000.0, top=202000.0)
299BoundingBox(left=144000.0, bottom=200000.0, right=145000.0, top=201000.0)
300BoundingBox(left=144000.0, bottom=199000.0, right=145000.0, top=200000.0)
301BoundingBox(left=145000.0, bottom=218000.0, right=146000.0, top=219000.0)
302BoundingBox(left=145000.0, bottom=217000.0, right=146000.0, top=218000.0)
303BoundingBox(left=145000.0, bottom=216000.0, right=146000.0, top=217000.0)
304BoundingBox(left=145000.0, bottom=215000.0, right=146000.0, top=216000.0)
305BoundingBox(left=145000.0, bottom=214000.0, right=146000.0, top=215000.0)
306BoundingBox(left=145000.0, bottom=213000.0, right=146000.0, top=214000.0)
307BoundingBox(left=145000.0, bottom=212000.0, right=146000.0, top=213000.0)
308BoundingBox(left=145000.0, bottom=211000.0, right=146000.0, top=212000.0)
309BoundingBox(left=145000.0, bottom=210000.0, right=146000.0, top=211000.0)
310BoundingBox(left=145000.0, bottom=209000.0, right=146000.0, top=210000.0)
311BoundingBox(left=145000.0, bottom=208000.0, right=146000.0, top=209000.0)
312BoundingBox(left=145000.0, bottom=207000.0, right=146000.0, top=208000.0)
313BoundingBox(left=145000.0, bottom=206000.0, right=146000.0, top=207000.0)
314BoundingBox(left=145000.0, bottom=205000.0, right=146000.0, top=206000.0)
315BoundingBox(left=145000.0, bottom=204000.0, right=146000.0, top=205000.0)
316BoundingBox(left=145000.0, bottom=203000.0, right=146000.0, top=204000.0)
317BoundingBox(left=145000.0, bottom=202000.0, right=146000.0, top=203000.0)
318BoundingBox(left=145000.0, bottom=201000.0, right=146000.0, top=202000.0)
319BoundingBox(left=145000.0, bottom=200000.0, right=146000.0, top=201000.0)
